12TH AV 	200 - 299 	L ST - K ST 	Not Posted, NS Thu & SS Fri
CLAIREMONT DR 	2600 - 2649 	DENVER ST - ERIE ST 	Not Posted, Both Sides Tue
CLAIREMONT DR 	2650 - 2749 	ERIE ST - GALVESTON ST 	Not Posted, Both Sides Tue
CLAIREMONT DR 	2750 - 2794 	GALVESTON ST - HARTFORD CT 	Not Posted, Both Sides Tue
CLAIREMONT DR 	2795 - 2819 	HARTFORD CT - CLAIREMONT CT 	Not Posted, Both Sides Tue
CLAIREMONT DR 	2820 - 2849 	CLAIREMONT CT - EDISON ST 	Not Posted, Both Sides Tue
CLAIREMONT DR 	2850 - 2899 	EDISON ST - FAIRFIELD ST 	Not Posted, Both Sides Tue
CLAIREMONT DR 	2900 - 2999 	FAIRFIELD ST - BURGENER BL 	Not Posted, Both Sides Tue
CLAIREMONT DR 	3000 - 3099 	BURGENER BL - IROQUOIS AV 	Not Posted, Both Sides Tue
CLAIREMONT DR 	3100 - 3199 	IROQUOIS AV - CALLE NEIL 	Not Posted, Both Sides Tue
CLAIREMONT DR 	3200 - 3299 	CALLE NEIL - BLACKFOOT AV 	Not Posted, Both Sides Tue
CLAIREMONT DR 	3300 - 3319 	BLACKFOOT AV - KNAPP ST 	Not Posted, Both Sides Tue
CLAIREMONT DR 	3320 - 3399 	KNAPP ST - DAKOTA DR 	Not Posted, Both Sides Tue
CLAIREMONT DR 	3400 - 3599 	DAKOTA DR - RAPPAHANNOCK AV 	Not Posted, Both Sides Tue
CLAIREMONT DR 	3600 - 3799 	RAPPAHANNOCK AV - UTE DR 	Not Posted, Both Sides Tue
CLAIREMONT DR 	3800 - 3899 	UTE DR - BALBOA AV 	Not Posted, Both Sides Tue
CLOVE ST 	1200 - 1249 	ADDISON ST - CARLETON ST 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	1250 - 1299 	CARLETON ST - DICKENS ST 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	1300 - 1339 	DICKENS ST - EMERSON ST 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	1340 - 1399 	EMERSON ST - FENELON ST 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	1400 - 1449 	FENELON ST - GARRISON ST 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	1450 - 1499 	GARRISON ST - HUGO ST 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	1500 - 1549 	HUGO ST - INGELOW ST 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	1550 - 1569 	INGELOW ST - LIGGETT DR 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	1800 - 1844 	MACAULAY ST - NEWELL ST 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	1845 - 1899 	NEWELL ST - OLIPHANT ST 	Not Posted, Both Sides Even Month 4th Wed
CLOVE ST 	2100 - 2199 	UDALL ST - VOLTAIRE ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2200 - 2249 	VOLTAIRE ST - WHITTIER ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2250 - 2299 	WHITTIER ST - XENOPHON ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2300 - 2349 	XENOPHON ST - YONGE ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2350 - 2399 	YONGE ST - ZOLA ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2400 - 2449 	ZOLA ST - ALCOTT ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2450 - 2499 	ALCOTT ST - BROWNING ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2500 - 2549 	BROWNING ST - CURTIS ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2550 - 2599 	CURTIS ST - DUMAS ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2600 - 2649 	DUMAS ST - ELLIOTT ST 	Not Posted, Both Sides Even Month 1st Wed
CLOVE ST 	2650 - 2699 	ELLIOTT ST - CHATSWORTH BL 	Not Posted, Both Sides Even Month 1st Wed
CLOVIS ST 	2500 - 2599 	VALETA ST - MONTALVO ST 	Not Posted, Both Sides Odd Month 1st Wed
CLOVIS ST 	2600 - 2699 	MONTALVO ST - MENTONE ST 	Not Posted, Both Sides Odd Month 1st Wed
CLOVIS ST 	2700 - 2799 	MENTONE ST - TEMECULA ST 	Not Posted, Both Sides Odd Month 1st Wed
COBRIDGE WY 	4100 - 4129 	LLOYD ST - END 	Not Posted, Both Sides Even Month 4th Thu
COCHISE WY 	4500 - 4599 	JOPLIN AV - JEMEZ DR 	Not Posted, Both Sides Even Month 4th Thu
CODY ST 	3850 - 3899 	BEGIN - BOONE ST 	Not Posted, Both Sides Even Month 4th Thu
COLLINGWOOD DR 	1600 - 1699 	BEGIN - JEWELL ST 	Not Posted, Both Sides Odd Month 3rd Wed
COLLINGWOOD DR 	1700 - 1709 	JEWELL ST - MONMOUTH DR 	Not Posted, Both Sides Odd Month 3rd Wed
COLLINGWOOD DR 	1710 - 1799 	MONMOUTH DR - KENDALL ST 	Not Posted, Both Sides Odd Month 3rd Wed
COLLINGWOOD DR 	4900 - 4929 	BEGIN - MALDEN ST 	Not Posted, Both Sides Odd Month 3rd Wed
COLLINGWOOD DR 	4930 - 4959 	MALDEN ST - LORING ST 	Not Posted, Both Sides Odd Month 3rd Wed
COLLINGWOOD DR 	4960 - 4999 	LORING ST - LOS ALTOS RD 	Not Posted, Both Sides Odd Month 3rd Wed
COLUSA ST 	1000 - 1089 	FRIARS RD - GAINES ST 	Not Posted, Both Sides Odd Month 1st Tue
COLUSA ST 	1090 - 1099 	GAINES ST - GAINES ST 	Not Posted, Both Sides Odd Month 1st Tue
COLUSA ST 	1100 - 1199 	GAINES ST - RILEY ST 	Not Posted, Both Sides Odd Month 1st Tue
COLUSA ST 	1200 - 1249 	RILEY ST - LAURETTA ST 	Not Posted, Both Sides Odd Month 1st Tue
COLUSA ST 	1250 - 1299 	LAURETTA ST - MILDRED ST 	Not Posted, Both Sides Odd Month 1st Tue
COLUSA ST 	1300 - 1399 	MILDRED ST - LINDA VISTA RD 	Not Posted, Both Sides Odd Month 1st Tue
CONCORD ST 	1000 - 1049 	TALBOT ST - HILL ST 	Not Posted, Both Sides Even Month 4th Wed
CONCORD ST 	1050 - 1099 	HILL ST - TRUMBULL ST 	Not Posted, Both Sides Even Month 4th Wed
CONCORD ST 	1100 - 1149 	TRUMBULL ST - ULLMAN ST 	Not Posted, Both Sides Even Month 4th Wed
CONCORD ST 	1150 - 1199 	ULLMAN ST - VALEMONT ST 	Not Posted, Both Sides Even Month 4th Wed
CONCORD ST 	1200 - 1299 	VALEMONT ST - BANGOR ST 	Not Posted, Both Sides Even Month 4th Wed
CONNER CT 	4150 - 4179 	CONNER WY - HARTMAN WY 	Not Posted, Both Sides Odd Month 3rd Tue
CONNER CT 	4180 - 4199 	HARTMAN WY - NUTE WY 	Not Posted, Both Sides Odd Month 3rd Tue
CONNER CT 	4200 - 4399 	NUTE WY - END 	Not Posted, Both Sides Odd Month 3rd Tue
CONNER WY 	3000 - 3099 	CONNER CT - HUERFANO AV 	Not Posted, Both Sides Odd Month 3rd Tue
CORDOVA ST 	1000 - 1049 	HILL ST - SUNSET CLIFFS BL 	Not Posted, Both Sides Even Month 4th Wed
CORDOVA ST 	700 - 730 	LADERA ST - CASITAS ST 	Not Posted, Both Sides Even Month 4th Wed
CORDOVA ST 	731 - 799 	CASITAS ST - CARMELO ST 	Not Posted, Both Sides Even Month 4th Wed
CORDOVA ST 	800 - 839 	CARMELO ST - ALGECIRAS ST 	Not Posted, Both Sides Even Month 4th Wed
CORDOVA ST 	840 - 873 	ALGECIRAS ST - BRINDISI ST 	Not Posted, Both Sides Even Month 4th Wed
CORDOVA ST 	874 - 899 	BRINDISI ST - MONACO ST 	Not Posted, Both Sides Even Month 4th Wed
CORDOVA ST 	900 - 939 	MONACO ST - MARSEILLES ST 	Not Posted, Both Sides Even Month 4th Wed
CORDOVA ST 	940 - 999 	MARSEILLES ST - HILL ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	1000 - 1009 	HILL ST - PIEDMONT DR 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	1010 - 1019 	PIEDMONT DR - OSPREY ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	1020 - 1057 	OSPREY ST - NOVARA ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	700 - 725 	LADERA ST - CASITAS ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	726 - 733 	CASITAS ST - CASITAS ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	734 - 799 	CASITAS ST - CARMELO ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	800 - 816 	CARMELO ST - ALGE CIRAS ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	817 - 829 	ALGE CIRAS ST - ALGECIRAS ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	830 - 859 	ALGECIRAS ST - BRINDISI ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	860 - 899 	BRINDISI ST - MONACO ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	900 - 949 	MONACO ST - MARSEILLES ST 	Not Posted, Both Sides Even Month 4th Wed
CORNISH DR 	950 - 999 	MARSEILLES ST - HILL ST 	Not Posted, Both Sides Even Month 4th Wed
CORONADO AV 	3800 - 4199 	CHATSWORTH BL - CATALINA BL 	Not Posted, Both Sides Even Month 4th Wed
CORONADO AV 	4200 - 4299 	CATALINA BL - VENICE ST 	Not Posted, Both Sides Even Month 4th Wed
CORONADO AV 	4300 - 4399 	VENICE ST - SANTA BARBARA ST 	Not Posted, Both Sides Even Month 4th Wed
CORONADO AV 	4400 - 4499 	SANTA BARBARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
CORONADO AV 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides 1st Wed
CORONADO AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
CORONADO AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
CORONADO AV 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Not Posted, Both Sides 1st Wed
CORONADO AV 	4900 - 4969 	CABLE ST - OCEAN FRONT ST 	Not Posted, Both Sides 1st Wed
CORONADO AV 	4970 - 4999 	OCEAN FRONT ST - BACON ST 	Not Posted, Both Sides 1st Wed
COURSER AV 	2900 - 3049 	BEGIN - COURSER CT 	Not Posted, Both Sides Odd Month 3rd Tue
COURSER AV 	3050 - 3199 	COURSER CT - BARROWS ST 	Not Posted, Both Sides Odd Month 3rd Tue
COURSER CT 	4300 - 4399 	BEGIN - COURSER AV 	Not Posted, Both Sides Odd Month 3rd Tue
COUTS ST 	3600 - 3699 	PACIFIC (FTG) HY - KURTZ ST 	Not Posted, Both Sides Mon
COWLEY WY 	2100 - 2199 	SEPTEMBER ST - AUGUST ST 	Not Posted, Both Sides Odd Month 3rd Tue
COWLEY WY 	2200 - 2299 	AUGUST ST - JULY ST 	Not Posted, Both Sides Odd Month 3rd Tue
COWLEY WY 	2300 - 2439 	JULY ST - LISTER ST 	Not Posted, Both Sides Even Month 4th Thu
COWLEY WY 	2440 - 2599 	LISTER ST - JELLETT ST 	Not Posted, Both Sides Even Month 4th Thu
COWLEY WY 	2600 - 2699 	JELLETT ST - HUXLEY ST 	Not Posted, Both Sides Even Month 4th Thu
COWLEY WY 	2700 - 2859 	HUXLEY ST - FIELD ST 	Not Posted, Both Sides Even Month 4th Thu
COWLEY WY 	2860 - 3099 	FIELD ST - IROQUOIS AV 	Not Posted, Both Sides Even Month 4th Thu
COWLEY WY 	3100 - 3199 	IROQUOIS AV - CALLE NEIL 	Not Posted, Both Sides Even Month 4th Thu
COWLEY WY 	3200 - 3299 	CALLE NEIL - WACO ST 	Not Posted, Both Sides Even Month 4th Thu
COWLEY WY 	3300 - 3499 	WACO ST - DAKOTA DR 	Not Posted, Both Sides Even Month 4th Thu
COWLEY WY 	3500 - 3799 	DAKOTA DR - TOMAHAWK LN 	Not Posted, Both Sides Even Month 4th Thu
CRETE ST 	3700 - 3749 	BALTIMORE ST - DONLEY ST 	Not Posted, Both Sides Even Month 4th Thu
CRETE ST 	3750 - 3799 	DONLEY ST - CHICAGO ST 	Not Posted, Both Sides Even Month 4th Thu
CROSS ST 	1800 - 1899 	GARDENA AV - GEORGETOWN AV 	Not Posted, Both Sides Odd Month 1st Tue
CROTON CT 	5300 - 5399 	AMITY ST - END 	Not Posted, Both Sides Odd Month 3rd Wed
CROWN POINT DR 	3300 - 3399 	INGRAHAM ST - EDEN DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3400 - 3499 	EDEN DR - LA CIMA DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3500 - 3599 	LA CIMA DR - CORONA ORIENTE RD 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3600 - 3699 	CORONA ORIENTE RD - MOORLAND DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3700 - 3749 	MOORLAND DR - SHASTA ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3750 - 3785 	SHASTA ST - KENDALL ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3786 - 3819 	KENDALL ST - SEQUOIA ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3820 - 3859 	SEQUOIA ST - CORONA ORIENTE RD 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3860 - 3899 	CORONA ORIENTE RD - ROOSEVELT AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3900 - 3919 	ROOSEVELT AV - HONEYCUTT ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3920 - 3969 	HONEYCUTT ST - MORRELL ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	3970 - 3999 	MORRELL ST - FORTUNA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN POINT DR 	4000 - 4099 	FORTUNA AV - PACIFIC BEACH DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CROWN ST 	5100 - 5199 	MONITOR RD - ELEVATION RD 	Not Posted, Both Sides Odd Month 1st Tue
CROWNHILL RD 	2100 - 2199 	EDGEWORTH RD - MIDDLETON RD 	Not Posted, Both Sides Odd Month 3rd Wed
CRYSTAL DR 	4900 - 4950 	OCEAN BL - DIXIE DR 	Not Posted, Both Sides Odd Month 3rd Wed
CRYSTAL DR 	4951 - 4999 	DIXIE DR - LORING ST 	Not Posted, Both Sides Odd Month 3rd Wed
CUDAHY PL 	1000 - 1099 	BEGIN - BUENOS AV 	Not Posted, Both Sides Wed
CURTIS ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 1st Wed
CURTIS ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 1st Wed
CURTIS ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 1st Wed
CURTIS ST 	3300 - 3399 	WILLOW ST - PLUM ST 	Not Posted, Both Sides Even Month 1st Wed
CURTIS ST 	3400 - 3499 	PLUM ST - CLOVE ST 	Not Posted, Both Sides Even Month 1st Wed
CURTIS ST 	3500 - 3599 	CLOVE ST - CHATSWORTH BL 	Not Posted, Both Sides Even Month 1st Wed
CURTIS ST 	3600 - 3699 	CHATSWORTH BL - POINSETTIA DR 	Not Posted, Both Sides Even Month 1st Wed
CURTIS ST 	3700 - 3799 	POINSETTIA DR - END 	Not Posted, Both Sides Even Month 1st Wed
CURTIS ST 	3830 - 3899 	BEGIN - WORDEN ST 	Not Posted, Both Sides Odd Month 1st Wed
CUSHMAN AV 	1150 - 1199 	MORENA BL - MORENA PL 	Not Posted, Both Sides Odd Month 1st Tue
CUSHMAN AV 	1200 - 1219 	MORENA PL - CUSHMAN PL 	Not Posted, Both Sides Odd Month 1st Tue
CUSHMAN AV 	1220 - 1249 	CUSHMAN PL - SAVANNAH ST 	Not Posted, Both Sides Odd Month 1st Tue
CUSHMAN AV 	1250 - 1329 	SAVANNAH ST - END 	Not Posted, Both Sides Odd Month 1st Tue
CUSHMAN AV 	1474 - 1519 	SOLAR ST - BROWNELL ST 	Not Posted, Both Sides Odd Month 1st Tue
CUSHMAN AV 	1520 - 1549 	BROWNELL ST - PLAINVIEW RD 	Not Posted, Both Sides Odd Month 1st Tue
CUSHMAN PL 	5200 - 5299 	CUSHMAN AV - END 	Not Posted, Both Sides Odd Month 1st Tue
CUSTER ST 	5300 - 5351 	SHERMAN ST - END 	Not Posted, Both Sides Wed
DAKOTA DR 	4200 - 4299 	BEGIN - FONTANA AV 	Not Posted, Both Sides Even Month 4th Thu
DAKOTA DR 	4300 - 4349 	FONTANA AV - MOHICAN AV 	Not Posted, Both Sides Even Month 4th Thu
DAKOTA DR 	4400 - 4429 	MOHICAN AV - CHEYENNE AV 	Not Posted, Both Sides Even Month 4th Thu
DAKOTA DR 	4430 - 4499 	CHEYENNE AV - APACHE AV 	Not Posted, Both Sides Even Month 4th Thu
DAKOTA DR 	4500 - 4549 	APACHE AV - CLAIREMONT DR 	Not Posted, Both Sides Even Month 4th Thu
DAKOTA DR 	4550 - 4599 	CLAIREMONT DR - WACO ST 	Not Posted, Both Sides Even Month 4th Thu
DAKOTA DR 	4600 - 4629 	WACO ST - TOMAHAWK LN 	Not Posted, Both Sides Even Month 4th Thu
DAKOTA DR 	4630 - 4649 	TOMAHAWK LN - COWLEY WY 	Not Posted, Both Sides Even Month 4th Thu
DAMON AV 	0 - 0 	BEGIN - SANTA FE ST 	Not Posted, Both Sides Tue
DAMON AV 	2900 - 2989 	MISSION BAY DR - END 	Not Posted, Both Sides Tue
DAMON AV 	2990 - 2999 	BEGIN - SANTA FE ST 	Not Posted, Both Sides Tue
DANA LANDING RD 	1400 - 1699 	BEGIN - INGRAHAM ST 	Not Posted, Both Sides Tue
DATCHO DR 	4000 - 4199 	CHIPPEWA CT - FOX AV 	Not Posted, Both Sides Even Month 4th Thu
DAWES ST 	4070 - 4099 	BEGIN - PACIFIC BEACH DR 	Posted (10am - 1pm), Both Sides 1st Thur
DAWES ST 	4100 - 4149 	PACIFIC BEACH DR - OLIVER AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4150 - 4199 	OLIVER AV - REED AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4200 - 4299 	REED AV - THOMAS AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4300 - 4399 	THOMAS AV - GRAND AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4400 - 4449 	GRAND AV - HORNBLEND ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4450 - 4499 	HORNBLEND ST - GARNET AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4500 - 4549 	GARNET AV - FELSPAR ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4600 - 4649 	FELSPAR ST - EMERALD ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4650 - 4699 	EMERALD ST - DIAMOND ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4700 - 4749 	DIAMOND ST - MISSOURI ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4750 - 4799 	MISSOURI ST - CHALCEDONY ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4800 - 4849 	CHALCEDONY ST - LAW ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4850 - 4899 	LAW ST - BERYL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4900 - 4949 	BERYL ST - WILBUR AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	4950 - 4999 	WILBUR AV - LORING ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	5000 - 5049 	LORING ST - OPAL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	5050 - 5099 	OPAL ST - TOURMALINE ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	5100 - 5149 	TOURMALINE ST - SAPPHIRE ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	5150 - 5199 	SAPPHIRE ST - TURQUOISE ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
DAWES ST 	5200 - 5249 	TURQUOISE ST - AGATE ST 	Not Posted, Both Sides Odd Month 4th Thu
DAWES ST 	5250 - 5299 	AGATE ST - ARCHER ST 	Not Posted, Both Sides Odd Month 4th Thu
DE SOTO ST 	4600 - 4699 	ALBUQUERQUE ST - END 	Not Posted, Both Sides Tue
DEERPARK DR 	2100 - 2199 	SEPTEMBER ST - AUGUST ST 	Not Posted, Both Sides Odd Month 3rd Tue
DEERPARK DR 	2300 - 2429 	JULY ST - LISTER ST 	Not Posted, Both Sides Even Month 4th Thu
DEERPARK DR 	2430 - 2599 	LISTER ST - JELLETT ST 	Not Posted, Both Sides Even Month 4th Thu
DEERPARK DR 	2600 - 2699 	JELLETT ST - HUXLEY ST 	Not Posted, Both Sides Even Month 4th Thu
DEERPARK DR 	2700 - 2899 	HUXLEY ST - FIELD ST 	Not Posted, Both Sides Even Month 4th Thu
DEL MAR AV 	3700 - 3859 	CANON ST - LIGGETT DR 	Not Posted, Both Sides Even Month 4th Wed
DEL MAR AV 	3860 - 3899 	LIGGETT DR - CHATSWORTH BL 	Not Posted, Both Sides Even Month 4th Wed
DEL MAR AV 	3900 - 4199 	CHATSWORTH BL - CATALINA BL 	Not Posted, Both Sides Even Month 4th Wed
DEL MAR AV 	4200 - 4299 	CATALINA BL - VENICE ST 	Not Posted, Both Sides Even Month 4th Wed
DEL MAR AV 	4300 - 4399 	VENICE ST - SANTA BARBARA ST 	Not Posted, Both Sides Even Month 4th Wed
DEL MAR AV 	4400 - 4499 	SANTA BARBARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
DEL MAR AV 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides 1st Wed
DEL MAR AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
DEL MAR AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
DEL MAR AV 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Not Posted, Both Sides 1st Wed
DEL MAR AV 	4900 - 4954 	CABLE ST - OCEAN FRONT ST 	Not Posted, Both Sides 1st Wed
DEL MAR AV 	4955 - 4959 	OCEAN FRONT ST - OCEAN FRONT ST 	Not Posted, Both Sides 1st Wed
DEL MONTE AV 	4200 - 4299 	CATALINA BL - VENICE ST 	Not Posted, Both Sides Even Month 4th Wed
DEL MONTE AV 	4300 - 4399 	VENICE ST - SANTA BARBARA ST 	Not Posted, Both Sides Even Month 4th Wed
DEL MONTE AV 	4400 - 4489 	SANTA BARBARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
DEL MONTE AV 	4490 - 4499 	GUIZOT ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
DEL MONTE AV 	4500 - 4529 	GUIZOT ST - END 	Not Posted, Both Sides 1st Wed
DEL MONTE AV 	4530 - 4599 	BEGIN - FROUDE ST 	Not Posted, Both Sides 1st Wed
DEL MONTE AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
DEL MONTE AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
DEL MONTE AV 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Not Posted, Both Sides 1st Wed
DEL MONTE AV 	4900 - 4999 	CABLE ST - BACON ST 	Not Posted, Both Sides 1st Wed
DEL MONTE AV 	5000 - 5065 	BACON ST - OCEAN FRONT ST 	Not Posted, Both Sides 1st Wed
DEL MONTE AV 	5066 - 5079 	OCEAN FRONT ST - OCEAN FRONT ST 	Not Posted, Both Sides 1st Wed
DEL MONTE AV 	5080 - 5099 	OCEAN FRONT ST - END 	Not Posted, Both Sides 1st Wed
DEL REY ST 	3400 - 3499 	ROSEWOOD ST - GLENDORA ST 	Not Posted, Both Sides Tue
DEL REY ST 	3500 - 3599 	GLENDORA ST - BUNKER HILL ST 	Not Posted, Both Sides Tue
DELLA PL 	4900 - 4999 	GALLATIN WY - END 	Not Posted, Both Sides Even Month 3rd Tue
DENVER ST 	1800 - 1899 	LIETA ST - ASHTON ST 	Not Posted, Both Sides Odd Month 1st Tue
DENVER ST 	1900 - 2049 	ASHTON ST - NAPIER ST 	Not Posted, Both Sides Wed
DENVER ST 	2050 - 2069 	NAPIER ST - MAYO ST 	Not Posted, Both Sides Odd Month 3rd Tue
DENVER ST 	2070 - 2099 	MAYO ST - END 	Not Posted, Both Sides Odd Month 3rd Tue
DENVER ST 	2200 - 2299 	MILTON ST - LISTER ST 	Not Posted, Both Sides Odd Month 3rd Tue
DENVER ST 	2300 - 2399 	LISTER ST - KANE ST 	Not Posted, Both Sides Odd Month 3rd Tue
DENVER ST 	2400 - 2499 	KANE ST - JELLETT ST 	Not Posted, Both Sides Odd Month 3rd Tue
DENVER ST 	2500 - 2599 	JELLETT ST - INGULF ST 	Not Posted, Both Sides Odd Month 3rd Tue
DENVER ST 	2600 - 2699 	INGULF ST - CLAIREMONT DR 	Not Posted, Both Sides Odd Month 3rd Tue
DENVER ST 	2700 - 2799 	CLAIREMONT DR - GESNER ST 	Not Posted, Both Sides Even Month 4th Thu
DENVER ST 	2800 - 2999 	GESNER ST - EDISON ST 	Not Posted, Both Sides Even Month 4th Thu
DENVER ST 	3000 - 3099 	EDISON ST - CESSNA ST 	Not Posted, Both Sides Even Month 4th Thu
DENVER ST 	3100 - 3199 	CESSNA ST - PIPER ST 	Not Posted, Both Sides Even Month 4th Thu
DEVONSHIRE DR 	1000 - 1003 	HILL ST - NOVARA ST 	Not Posted, Both Sides Even Month 4th Wed
DEVONSHIRE DR 	1004 - 1049 	NOVARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
DEVONSHIRE DR 	1050 - 1099 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides Even Month 4th Wed
DEVONSHIRE DR 	1100 - 1149 	FROUDE ST - ALHAMBRA ST 	Not Posted, Both Sides Even Month 4th Wed
DEVONSHIRE DR 	1150 - 1199 	ALHAMBRA ST - OSPREY ST 	Not Posted, Both Sides Even Month 4th Wed
DEVONSHIRE DR 	1200 - 1249 	OSPREY ST - GRANGER ST 	Not Posted, Both Sides Even Month 4th Wed
DEVONSHIRE DR 	1250 - 1299 	GRANGER ST - TIVOLI ST 	Not Posted, Both Sides Even Month 4th Wed
DEVONSHIRE DR 	1300 - 1349 	TIVOLI ST - ADAIR ST 	Not Posted, Both Sides Even Month 4th Wed
DEWES WY 	4150 - 4199 	DONLEY ST - CHICAGO ST 	Not Posted, Both Sides Even Month 4th Thu
